127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/js/ajax_editor.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-02-28 16:03:51, GET, /admin/static/_2.13.4/js/typeahead.min.js, HTTP/1.1, 200, 0.004000
